name,chord_pitches_consolidated,roman_interval_list,ext_list,maj_min_list
Fmaj7,"['F', 'A', 'C', 'E']",['IV'],['7'],['M']
B-m11/F,"['F', 'A-', 'B-', 'C', 'C#', 'E-']",['vii'],['11'],['m']
E/o7,"['E', 'G', 'B-', 'D']",['iii'],['7'],['m']
Eo7,"['E', 'G', 'B-', 'C#']",['iii'],['7'],['m']
Dm9,"['D', 'F', 'A', 'C', 'E']",['ii'],['9'],['m']
A7add#9addb13,"['A', 'C#', 'E', 'G', 'C', 'F']",['VI'],"['7', '9', '13']",['M']
Dm11,"['D', 'F', 'A', 'C', 'E', 'G']",['ii'],['11'],['m']
G13,"['G', 'B', 'D', 'F', 'A', 'C', 'E']",['V'],['13'],['M']
B-maj7/C,"['C', 'B-', 'D', 'F', 'A']",['VII'],['7'],['M']
A-,"['A-', 'C', 'E-']",['VI'],[],['M']
G-,"['F#', 'B-', 'C#']",['V'],[],['M']
A7add#9,"['A', 'C#', 'E', 'G', 'C']",['VI'],"['7', '9']",['M']
B-add2,"['B-', 'C', 'D', 'F']",['VII'],[],['M']
E-9,"['E-', 'G', 'B-', 'C#', 'F']",['III'],['9'],['M']
Fmaj7/C,"['C', 'E', 'F', 'A']",['IV'],['7'],['M']
B-m11/D-,"['C#', 'E-', 'F', 'A-', 'B-', 'C']",['vii'],['11'],['m']
G9,"['G', 'B', 'D', 'F', 'A']",['V'],['9'],['M']
A-/G-,"['F#', 'A-', 'C', 'E-']",['VI'],[],['M']
C,"['C', 'E', 'G']",['I'],[],['M']
C#dim,"['C#', 'E', 'G']",['i'],['dim'],['m']
Dm,"['D', 'F', 'A']",['ii'],[],['m']
Dm7,"['D', 'F', 'A', 'C']",['ii'],['7'],['m']
G7,"['G', 'B', 'D', 'F']",['V'],['7'],['M']
Cmaj7,"['C', 'E', 'G', 'B']",['I'],['7'],['M']
C/E,"['E', 'G', 'C']",['I'],[],['M']
E-dim,"['E-', 'F#', 'A']",['iii'],['dim'],['m']
