song_title,chord_progression,chord_list,num_unique
A Child is Born,Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F E/o7 Eo7 Dm9 A7add#9addb13 Dm11 A7add#9addb13 Dm9 G13 B-maj7/C A- G- Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 A7add#9 B-add2 E-9 Fmaj7/C B-m11/D- Fmaj7/C G9 C#9alterb5 B-maj7/C A-/G- Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 B-m11/F E/o7 Eo7 Dm9 A7add#9addb13 Dm11 A7add#9addb13 Dm9 G13 B-maj7/C A- G- Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7 A7add#9 B-add2 E-9 Fmaj7/C B-m11/D- Fmaj7/C G9 C#9alterb5 B-maj7/C A-/G- Fmaj7 B-m11/F Fmaj7 B-m11/F Fmaj7,"['Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'E/o7', 'Eo7', 'Dm9', 'A7add#9addb13', 'Dm11', 'A7add#9addb13', 'Dm9', 'G13', 'B-maj7/C', 'A-', 'G-', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'A7add#9', 'B-add2', 'E-9', 'Fmaj7/C', 'B-m11/D-', 'Fmaj7/C', 'G9', 'C#9alterb5', 'B-maj7/C', 'A-/G-', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'E/o7', 'Eo7', 'Dm9', 'A7add#9addb13', 'Dm11', 'A7add#9addb13', 'Dm9', 'G13', 'B-maj7/C', 'A-', 'G-', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'A7add#9', 'B-add2', 'E-9', 'Fmaj7/C', 'B-m11/D-', 'Fmaj7/C', 'G9', 'C#9alterb5', 'B-maj7/C', 'A-/G-', 'Fmaj7', 'B-m11/F', 'Fmaj7', 'B-m11/F', 'Fmaj7']",19
Volare,C C#dim Dm Dm7 G7 Dm7 G7 C G7 Cmaj7 C6 C/E E-dim Dm D7 Am7 D7 Dm7/G G7 A7addb9 Dm7 A7addb9 Dm6 G7addb9 C9 Cmaj7 C6 G7 Am Dm7 G9 C Dm7 G9 C Am AmM7add9 Am7 Am6 Em B7+ Em7 E7 Dm/F E7 Am F/A Am Fm C+ Fm7 B-7 E- G7 A7addb9 Dm7 A7addb9 Dm7 G7addb9 C6 Cmaj7 C6 G7 Am Dm7 G9 C Dm7 G9 C Dm7 G9 C,"['C', 'C#dim', 'Dm', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'G7', 'Cmaj7', 'C6', 'C/E', 'E-dim', 'Dm', 'D7', 'Am7', 'D7', 'Dm7/G', 'G7', 'A7addb9', 'Dm7', 'A7addb9', 'Dm6', 'G7addb9', 'C9', 'Cmaj7', 'C6', 'G7', 'Am', 'Dm7', 'G9', 'C', 'Dm7', 'G9', 'C', 'Am', 'AmM7add9', 'Am7', 'Am6', 'Em', 'B7+', 'Em7', 'E7', 'Dm/F', 'E7', 'Am', 'F/A', 'Am', 'Fm', 'C+', 'Fm7', 'B-7', 'E-', 'G7', 'A7addb9', 'Dm7', 'A7addb9', 'Dm7', 'G7addb9', 'C6', 'Cmaj7', 'C6', 'G7', 'Am', 'Dm7', 'G9', 'C', 'Dm7', 'G9', 'C', 'Dm7', 'G9', 'C']",31
Wayne Shorter - Speak No Evil,Em7 Fmaj7 Em7 Fmaj7 Em7 Fmaj7 Em7 Fmaj7 Gm7 G#m Em7 F#m7 Dm7 C#7alterb5 Dm7 C#7alterb5 Dm7 C7 Bm7 B-7alterb5 Am7 D7alterb5 F#/G Fmaj7 Em7 Fmaj7 Em7 Fmaj7 Em7 Fmaj7 Em7 Fmaj7 Gm7 G#m7 Em7 F#m7 Dm7 C#7alterb5 Dm7 C#7alterb5 Dm7 Em7 Fmaj7 Em7 Fmaj7,"['Em7', 'Fmaj7', 'Em7', 'Fmaj7', 'Em7', 'Fmaj7', 'Em7', 'Fmaj7', 'Gm7', 'G#m', 'Em7', 'F#m7', 'Dm7', 'C#7alterb5', 'Dm7', 'C#7alterb5', 'Dm7', 'C7', 'Bm7', 'B-7alterb5', 'Am7', 'D7alterb5', 'F#/G', 'Fmaj7', 'Em7', 'Fmaj7', 'Em7', 'Fmaj7', 'Em7', 'Fmaj7', 'Em7', 'Fmaj7', 'Gm7', 'G#m7', 'Em7', 'F#m7', 'Dm7', 'C#7alterb5', 'Dm7', 'C#7alterb5', 'Dm7', 'Em7', 'Fmaj7', 'Em7', 'Fmaj7']",14
Y Viva España,G7 Cm B- A- G7 Cm B- A- G7 Cm B- A- G7 A- G7 D7 G7 C Cdim G7 C Cdim G7 Cm B- A- G7 Cm B- A- G7 C Cdim G7 C Cdim G7 C D- E- D- C,"['G7', 'Cm', 'B-', 'A-', 'G7', 'Cm', 'B-', 'A-', 'G7', 'Cm', 'B-', 'A-', 'G7', 'A-', 'G7', 'D7', 'G7', 'C', 'Cdim', 'G7', 'C', 'Cdim', 'G7', 'Cm', 'B-', 'A-', 'G7', 'Cm', 'B-', 'A-', 'G7', 'C', 'Cdim', 'G7', 'C', 'Cdim', 'G7', 'C', 'D-', 'E-', 'D-', 'C']",9
Yesterday,C Bm7 E7 Am Am/G F G7 C G/B Am D F C E11 E7 Am G F Am/E Dm G C E11 E7 Am G F Am/E Dm G C Bm7 E7 Am Am/G F G C G/B Am D F C C/G D/F# F C,"['C', 'Bm7', 'E7', 'Am', 'Am/G', 'F', 'G7', 'C', 'G/B', 'Am', 'D', 'F', 'C', 'E11', 'E7', 'Am', 'G', 'F', 'Am/E', 'Dm', 'G', 'C', 'E11', 'E7', 'Am', 'G', 'F', 'Am/E', 'Dm', 'G', 'C', 'Bm7', 'E7', 'Am', 'Am/G', 'F', 'G', 'C', 'G/B', 'Am', 'D', 'F', 'C', 'C/G', 'D/F#', 'F', 'C']",15
You've Got a Friend,F B-/F Em A7 Dm A7/E Dm A7/E Dm/F Em Dm Gm7 C7 F Em7 A7 Dm A7/E Dm/F A7/E Dm Gm7 Am7 B-/C C B-/C C F B- Gm7 B-/C F B-/C F FM9 B-M9 B-6 Dm7 Cm7 B- Am7 Gm7 B-/C F B-/F F Em7 A7 E- B- F FM9 B-maj7 E-7 Dm G7 B-/C C,"['F', 'B-/F', 'Em', 'A7', 'Dm', 'A7/E', 'Dm', 'A7/E', 'Dm/F', 'Em', 'Dm', 'Gm7', 'C7', 'F', 'Em7', 'A7', 'Dm', 'A7/E', 'Dm/F', 'A7/E', 'Dm', 'Gm7', 'Am7', 'B-/C', 'C', 'B-/C', 'C', 'F', 'B-', 'Gm7', 'B-/C', 'F', 'B-/C', 'F', 'FM9', 'B-M9', 'B-6', 'Dm7', 'Cm7', 'B-', 'Am7', 'Gm7', 'B-/C', 'F', 'B-/F', 'F', 'Em7', 'A7', 'E-', 'B-', 'F', 'FM9', 'B-maj7', 'E-7', 'Dm', 'G7', 'B-/C', 'C']",23
A Ballad For A Jazz Festival-less text,CM9 E7add#9 Fmaj7 B-9 B/o7 E7add#9 A13 D7alterb5addb9 G9 G7alter#5 CM9 E7add#9 Fmaj7 B-9 Am7 D7 Fm7 B-9 Am Am/G# Am/G F#/o7 D7alter#5addb9 G9alter#3 G13 G7alter#5addb9 C G7alter#5add#9 CM9 E7add#9 Fmaj7 B-9 Am7 D7 Fm7 B-9 Am Am/G# Am/G F#/o7 D7alter#5addb9 G9alter#3 G13 G7alter#5addb9 Cmaj7 F9 F#/o7 B7 Emaj7/G# Gdim F#m7 B7 Emaj7/B E6 Am7 D7 Gmaj7 G#dim Am7 D7 Dm7 G7alter#5add#9 CM9 E7add#9 Fmaj7 B-9 Am7 D7 Fm7 B-9 Am A Am/G F#/o7 Fm7 B-13 E9 E-6add9 Dm7 G13 G7alter#5addb9 C6add9 Am Am/G# Am/G Am/F# Dm7 D-7add#9 CM13 CM9 E7add#9 Fmaj7 B-13 Am7 D9 Fm7 B-13 Am7 E7 Am7 D7add#9 Dm7 G7alter#5addb9 C Am7 Dm7 G7alter#5addb9 CM9 E7add#9 Fmaj7 B-13 Am7 D9 Fm7 B-13 Am7 E7 Am7 D7add#9 Dm7 G7alter#5addb9 D-9 C6add9 F13,"['CM9', 'E7add#9', 'Fmaj7', 'B-9', 'B/o7', 'E7add#9', 'A13', 'D7alterb5addb9', 'G9', 'G7alter#5', 'CM9', 'E7add#9', 'Fmaj7', 'B-9', 'Am7', 'D7', 'Fm7', 'B-9', 'Am', 'Am/G#', 'Am/G', 'F#/o7', 'D7alter#5addb9', 'G9alter#3', 'G13', 'G7alter#5addb9', 'C', 'G7alter#5add#9', 'CM9', 'E7add#9', 'Fmaj7', 'B-9', 'Am7', 'D7', 'Fm7', 'B-9', 'Am', 'Am/G#', 'Am/G', 'F#/o7', 'D7alter#5addb9', 'G9alter#3', 'G13', 'G7alter#5addb9', 'Cmaj7', 'F9', 'F#/o7', 'B7', 'Emaj7/G#', 'Gdim', 'F#m7', 'B7', 'Emaj7/B', 'E6', 'Am7', 'D7', 'Gmaj7', 'G#dim', 'Am7', 'D7', 'Dm7', 'G7alter#5add#9', 'CM9', 'E7add#9', 'Fmaj7', 'B-9', 'Am7', 'D7', 'Fm7', 'B-9', 'Am', 'A', 'Am/G', 'F#/o7', 'Fm7', 'B-13', 'E9', 'E-6add9', 'Dm7', 'G13', 'G7alter#5addb9', 'C6add9', 'Am', 'Am/G#', 'Am/G', 'Am/F#', 'Dm7', 'D-7add#9', 'CM13', 'CM9', 'E7add#9', 'Fmaj7', 'B-13', 'Am7', 'D9', 'Fm7', 'B-13', 'Am7', 'E7', 'Am7', 'D7add#9', 'Dm7', 'G7alter#5addb9', 'C', 'Am7', 'Dm7', 'G7alter#5addb9', 'CM9', 'E7add#9', 'Fmaj7', 'B-13', 'Am7', 'D9', 'Fm7', 'B-13', 'Am7', 'E7', 'Am7', 'D7add#9', 'Dm7', 'G7alter#5addb9', 'D-9', 'C6add9', 'F13']",46
A Ballad For A Jazz Festival,CM9 E7add#9 Fmaj7 B-9 B/o7 E7add#9 A13 D7alterb5addb9 G9 G7alter#5 CM9 E7add#9 Fmaj7 B-9 Am7 D7 Fm7 B-9 Am Am/G# Am/G F#/o7 D7alter#5addb9 G9alter#3 G13 G7alter#5addb9 C G7alter#5add#9 CM9 E7add#9 Fmaj7 B-9 Am7 D7 Fm7 B-9 Am Am/G# Am/G F#/o7 D7alter#5addb9 G9alter#3 G13 G7alter#5addb9 Cmaj7 F9 F#/o7 B7 Emaj7/G# Gdim F#m7 B7 Emaj7/B E6 Am7 D7 Gmaj7 G#dim Am7 D7 Dm7 G7alter#5add#9 CM9 E7add#9 Fmaj7 B-9 Am7 D7 Fm7 B-9 Am Am/G# Am/G F#/o7 Fm7 B-13 E9 E-6add9 Dm7 G13 G7alter#5addb9 C6add9 Am Am/G# Am/G Am/F# Dm7 D-7add#9 CM13 CM9 E7add#9 Fmaj7 B-13 Am7 D9 Fm7 B-13 Am7 E7 Am7 D7add#9 Dm7 G7alter#5addb9 C Am7 Dm7 G7alter#5addb9 CM9 E7add#9 Fmaj7 B-13 Am7 D9 Fm7 B-13 Am7 E7 Am7 D7add#9 Dm7 G7alter#5addb9 D-9 C6add9 F13,"['CM9', 'E7add#9', 'Fmaj7', 'B-9', 'B/o7', 'E7add#9', 'A13', 'D7alterb5addb9', 'G9', 'G7alter#5', 'CM9', 'E7add#9', 'Fmaj7', 'B-9', 'Am7', 'D7', 'Fm7', 'B-9', 'Am', 'Am/G#', 'Am/G', 'F#/o7', 'D7alter#5addb9', 'G9alter#3', 'G13', 'G7alter#5addb9', 'C', 'G7alter#5add#9', 'CM9', 'E7add#9', 'Fmaj7', 'B-9', 'Am7', 'D7', 'Fm7', 'B-9', 'Am', 'Am/G#', 'Am/G', 'F#/o7', 'D7alter#5addb9', 'G9alter#3', 'G13', 'G7alter#5addb9', 'Cmaj7', 'F9', 'F#/o7', 'B7', 'Emaj7/G#', 'Gdim', 'F#m7', 'B7', 'Emaj7/B', 'E6', 'Am7', 'D7', 'Gmaj7', 'G#dim', 'Am7', 'D7', 'Dm7', 'G7alter#5add#9', 'CM9', 'E7add#9', 'Fmaj7', 'B-9', 'Am7', 'D7', 'Fm7', 'B-9', 'Am', 'Am/G#', 'Am/G', 'F#/o7', 'Fm7', 'B-13', 'E9', 'E-6add9', 'Dm7', 'G13', 'G7alter#5addb9', 'C6add9', 'Am', 'Am/G#', 'Am/G', 'Am/F#', 'Dm7', 'D-7add#9', 'CM13', 'CM9', 'E7add#9', 'Fmaj7', 'B-13', 'Am7', 'D9', 'Fm7', 'B-13', 'Am7', 'E7', 'Am7', 'D7add#9', 'Dm7', 'G7alter#5addb9', 'C', 'Am7', 'Dm7', 'G7alter#5addb9', 'CM9', 'E7add#9', 'Fmaj7', 'B-13', 'Am7', 'D9', 'Fm7', 'B-13', 'Am7', 'E7', 'Am7', 'D7add#9', 'Dm7', 'G7alter#5addb9', 'D-9', 'C6add9', 'F13']",45
A Beautiful Friendship - Donald Kahn,Fmaj7 B7 B-maj7 E-7 D7 Dm7 G7 Gm7 C7 C9alter#5 Fmaj7 B7 B-maj7 E-7 D7 Dm7 G7 Gm7 C7 Cm9 F9 B-maj7 B-m7 E-7 Am7 D7 Dm7 D-7 C7alter#5 Fmaj7 B7 B-maj7 A/o7 D7 Gm7 C7addb9 Fmaj7 Gm7 C7,"['Fmaj7', 'B7', 'B-maj7', 'E-7', 'D7', 'Dm7', 'G7', 'Gm7', 'C7', 'C9alter#5', 'Fmaj7', 'B7', 'B-maj7', 'E-7', 'D7', 'Dm7', 'G7', 'Gm7', 'C7', 'Cm9', 'F9', 'B-maj7', 'B-m7', 'E-7', 'Am7', 'D7', 'Dm7', 'D-7', 'C7alter#5', 'Fmaj7', 'B7', 'B-maj7', 'A/o7', 'D7', 'Gm7', 'C7addb9', 'Fmaj7', 'Gm7', 'C7']",18
A Blossom Fell-test,Gsus F#dim G Am F7 G7 C A7 Dm G7 C C/B Am C/G Dm G7 Dm G7 C7 Dm C A7 Dm G7 C C7 F C Dm G7 Cdim C7 F C/E D# Dm A+/C# Dm/C Dm/B C7 Dm C A7 Dm G7 C C/B Am C/G Dm G7 Dm G7 C7 Dm C A7 Dm G7 C C7 F Dm F/C C/E C/G Dm G7 Cdim C7 F Dm F/C C/E D# Dm C C/B Am C/G C C/B,"['Gsus', 'F#dim', 'G', 'Am', 'F7', 'G7', 'C', 'A7', 'Dm', 'G7', 'C', 'C/B', 'Am', 'C/G', 'Dm', 'G7', 'Dm', 'G7', 'C7', 'Dm', 'C', 'A7', 'Dm', 'G7', 'C', 'C7', 'F', 'C', 'Dm', 'G7', 'Cdim', 'C7', 'F', 'C/E', 'D#', 'Dm', 'A+/C#', 'Dm/C', 'Dm/B', 'C7', 'Dm', 'C', 'A7', 'Dm', 'G7', 'C', 'C/B', 'Am', 'C/G', 'Dm', 'G7', 'Dm', 'G7', 'C7', 'Dm', 'C', 'A7', 'Dm', 'G7', 'C', 'C7', 'F', 'Dm', 'F/C', 'C/E', 'C/G', 'Dm', 'G7', 'Cdim', 'C7', 'F', 'Dm', 'F/C', 'C/E', 'D#', 'Dm', 'C', 'C/B', 'Am', 'C/G', 'C', 'C/B']",20
